Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,Course Name,Description,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2021 - 2022,2022 Spring,UGRD,UGRD,Fadiah,Qudah,Pavan Datta Basyam,CSE,1325,4,OBJECT-ORIENTED PROGRAMMING,"Object-oriented concepts, class diagrams, collection classes, generics, polymorphism, and reusability.  Projects involve extensive programming and include graphical user interfaces and multithreading. Prerequisite:CSE 1320.",30,10,6,1,0,0,0,1,1,0,0,49
2021 - 2022,2022 Spring,UGRD,UGRD,Fadiah,Qudah,Saiyang Na,CSE,1310,3,INTRODUCTION TO COMPUTERS & PROGRAMMING,"An introduction to the computer, to the algorithmic process, and to programming using basic control and data structures, using a procedural language. Prerequisite: C or better inMATH 1302orMATH 1402or C or better in (or concurrent enrollment in) a subsequent mathematics course (MATH 1421,MATH 1426,MATH 2425,MATH 2326,MATH 3330,HONR-SC 1426orHONR-SC 2425) or a qualifying score on the ALEKS PPL and C or better inUNIV 1131(or concurrent enrollment) orENGR 1101(or concurrent enrollment).",11,7,4,5,4,0,0,3,14,0,0,48
2021 - 2022,2022 Spring,UGRD,UGRD,George,Rice,Rutuja Risbood,CSE,1325,3,OBJECT-ORIENTED PROGRAMMING,"Object-oriented concepts, class diagrams, collection classes, generics, polymorphism, and reusability.  Projects involve extensive programming and include graphical user interfaces and multithreading. Prerequisite:CSE 1320.",20,8,4,7,4,0,0,0,4,0,0,47
2021 - 2022,2022 Spring,UGRD,UGRD,George,Rice,Sm Mazharul Islam,CSE,1325,2,OBJECT-ORIENTED PROGRAMMING,"Object-oriented concepts, class diagrams, collection classes, generics, polymorphism, and reusability.  Projects involve extensive programming and include graphical user interfaces and multithreading. Prerequisite:CSE 1320.",7,5,7,1,3,0,0,3,3,0,0,29
2021 - 2022,2022 Spring,UGRD,UGRD,Giridhar,Amaravadi,Manthan Jinal Shah,CSE,4314,2,PROFESSIONAL PRACTICES,"Ethics. Contemporary social aspects and responsibilities of computing in a global, societal context. Lifelong learning goals and resources. Entrepreneurship and intellectual property. Project involving written and oral communication. Prerequisite: Admitted into an Engineering Professional Program. C or better inCOMS 2302.",37,7,2,0,0,0,0,0,0,0,0,46
2021 - 2022,2022 Spring,UGRD,UGRD,Giridhar,Amaravadi,Sushmitha Cherukuri,CSE,4322,2,SOFTWARE PROJECT MANAGEMENT,"Introduction to software project management. Issues include effort estimation and costing, project planning and scheduling, option analysis, software quality assurance, and formal technical reviews. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 3310.",36,8,1,0,0,0,0,0,0,0,0,45
2021 - 2022,2022 Spring,UGRD,UGRD,Ishfaq,Ahmad,Addison Clark,CSE,4351,1,PARALLEL PROCESSING,"Theory and practice of parallel processing, including characterization of parallel processors, models for memory, algorithms, and interprocess synchronization. Issues in parallelizing serial computations, efficiency and speedup analysis. Programming exercises using one or more concurrent programming languages, on one of more parallel computers. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 3320.",1,2,1,1,0,0,0,0,2,0,0,7
2021 - 2022,2022 Spring,UGRD,UGRD,Janice,Tiernan,"Deepika Sai Chowdary Rajaneni, Saurabh Gulab Marne, Yash Waghmare",CSE,1310,5,INTRODUCTION TO COMPUTERS & PROGRAMMING,"An introduction to the computer, to the algorithmic process, and to programming using basic control and data structures, using a procedural language. Prerequisite: C or better inMATH 1302orMATH 1402or C or better in (or concurrent enrollment in) a subsequent mathematics course (MATH 1421,MATH 1426,MATH 2425,MATH 2326,MATH 3330,HONR-SC 1426orHONR-SC 2425) or a qualifying score on the ALEKS PPL and C or better inUNIV 1131(or concurrent enrollment) orENGR 1101(or concurrent enrollment).",22,15,22,14,35,0,0,5,31,0,0,144
2021 - 2022,2022 Spring,UGRD,UGRD,Jason,Losh,"Happy Ndikumana, Nathan Fusselman",CSE,3442,1,EMBEDDED SYSTEMS I,"Design of microcontroller-based systems, including microprocessor programming, component and system architectures, memory interfacing, asynchronous and synchronous serial interfaces, timer-based peripherals, analog to digital (A/D) and digital to analog (D/A) converters, and typical applications. Prerequisite: C or better in each of the following:CSE 2312,CSE 2440andCSE 2441.",14,3,3,4,1,0,0,0,1,0,0,26
2021 - 2022,2022 Spring,UGRD,UGRD,Jason,Losh,"Happy Ndikumana, Nathan Fusselman",CSE,4342,5,EMBEDDED SYSTEMS II,"Advanced course in design of microcontroller-based systems. Emphasis is on the application of microcontrollers to real-time problems. Topics include the study of the differences in bare metal and embedded Linux implementations, simple Linux character device drivers, bootloader design, watchdog and supervision concepts, and developing applications such as PID controllers. Course includes significant laboratory content and a project with extensive hardware and software requirements. Prerequisite: Admitted into an Engineering Professional Program. C or better in each of the following:CSE 3323,CSE 3442, andCSE 3313.",6,3,1,3,3,0,0,0,1,0,0,17
2021 - 2022,2022 Spring,UGRD,UGRD,Jason,Losh,Nathan Fusselman,CSE,4352,1,IOT AND NETWORKING,"Study of protocol stacks and layers, implementation of an Ethernet protocol stack, and design of a basic low-latency, small footprint IoT protocol on bare metal embedded devices and embedded Linux systems. Course includes multiple projects with hardware construction and extensive software and integration requirements. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 3442.",7,1,1,0,1,0,0,0,0,0,0,10
2021 - 2022,2022 Spring,UGRD,UGRD,Jason,Losh,Paul Agbaje,CSE,2312,1,COMPUTER ORGANIZATION & ASSEMBLY LANGUAGE PROGRAMMING,"Computer organization from the viewpoint of software, including instruction set architectures, memory addressing, integer and floating-point representation and arithmetic, instruction pipelining, cache, memory virtualization, and I/O. The relationship of higher-level programming languages to assembly language and instruction set architecture is also explored. Prerequisite: a C or better inCSE 1320and a C or better inCSE 1205orCSE 1106.",15,14,8,3,3,0,0,1,1,0,0,45
2021 - 2022,2022 Spring,UGRD,UGRD,Jason,Losh,Saachi Shivhare,CSE,2312,2,COMPUTER ORGANIZATION & ASSEMBLY LANGUAGE PROGRAMMING,"Computer organization from the viewpoint of software, including instruction set architectures, memory addressing, integer and floating-point representation and arithmetic, instruction pipelining, cache, memory virtualization, and I/O. The relationship of higher-level programming languages to assembly language and instruction set architecture is also explored. Prerequisite: a C or better inCSE 1320and a C or better inCSE 1205orCSE 1106.",19,12,3,4,1,0,0,1,5,0,0,45
2021 - 2022,2022 Spring,UGRD,UGRD,Jia,Rao,"Lingfeng Xiang, Xiaofeng Wu",CSE,3320,2,OPERATING SYSTEMS,"Functions and components of an operating system, including process synchronization, job scheduling, memory management, file systems protection, and deadlocks. Related system software, such as loaders, linkers, assemblers, and windowing systems. Prerequisite: C or better inCSE 2312.",17,16,2,1,0,0,0,1,2,0,0,39
2021 - 2022,2022 Spring,UGRD,UGRD,Jiang,Ming,Mengfei Ren,CSE,4380,1,INFORMATION SECURITY,"Hands-on introduction to the basics of security. Includes system security, buffer overflows, a high-level overview of cryptography, firewalls and intrusion detection/prevention, malware, penetration testing, forensics, and system administration. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 3320.",13,18,2,0,0,0,0,0,0,0,0,33
2021 - 2022,2022 Spring,UGRD,UGRD,Jimmie,Davis,Mohammad Rifat Arefin,CSE,3310,4,FUNDAMENTALS OF SOFTWARE ENGINEERING,"Software engineering principles, processes, and techniques; software development approaches focusing on functional analysis and functional design methods. Configuration management, implementation strategies, and testing. Team project. Prerequisite: C or better in each of the following:CSE 1320,CSE 1325andCSE 2315.",5,18,9,3,0,0,0,0,0,0,0,35
2021 - 2022,2022 Spring,UGRD,UGRD,Jon,Mitchell,Afia Anjum,CSE,3313,1,INTRODUCTION TO SIGNAL PROCESSING,"Examines models for presentation and processing of digital signals. Sampling theorem, correlation and convolution, time and frequency analysis of linear systems, Fourier transform, Z-transform, design of digital filters structures for discrete time systems. Prerequisite: C or better in each of the following:CSE 3318and eitherCSE 3380orMATH 3330.",30,7,0,2,2,0,0,1,5,0,0,47
2021 - 2022,2022 Spring,UGRD,UGRD,Keaton,Hamm,,DATA,3401,1,PYTHON FOR DATA SCIENCE 1,"This is the first of a two course sequence offering the foundations of Python programming in the context of data science. It introduces the full syntax of the Python language as it overviews structured, functional, and object oriented programming methodologies. It also provides a basic conceptual understanding of computing and introduces Unix command-line tools, software employed in data science such as git and Jupyter, and Python libraries such as numpy, matplotlib, and Pandas. Prerequisite:MATH 1426or concurrent enrollment inMATH 1426.",16,6,2,0,2,0,0,2,3,0,0,31
2021 - 2022,2022 Spring,UGRD,UGRD,Kelly,French,Gagan Ujjini Mallikarjuna,CSE,3302,1,PROGRAMMING LANGUAGES,"Introduction, analysis, and evaluation of the important concepts found in a variety of programming languages. Formalisms useful in specifying language syntax and semantics; programming language paradigms such as algorithmic, functional, logic, and object-oriented. Prerequisite: C or better in each of the following:CSE 1325,CSE 2312andCSE 3318.",15,12,1,1,1,0,0,0,0,0,0,30
2021 - 2022,2022 Spring,UGRD,UGRD,Kelly,French,Pruthvik Hemantbhai Kakadiya,CSE,3302,2,PROGRAMMING LANGUAGES,"Introduction, analysis, and evaluation of the important concepts found in a variety of programming languages. Formalisms useful in specifying language syntax and semantics; programming language paradigms such as algorithmic, functional, logic, and object-oriented. Prerequisite: C or better in each of the following:CSE 1325,CSE 2312andCSE 3318.",30,12,4,0,0,0,0,0,1,0,0,47
2021 - 2022,2022 Spring,UGRD,UGRD,Kelly,French,Seyyed Mohammad Sadegh Moosavi Khorzooghi,CSE,3302,3,PROGRAMMING LANGUAGES,"Introduction, analysis, and evaluation of the important concepts found in a variety of programming languages. Formalisms useful in specifying language syntax and semantics; programming language paradigms such as algorithmic, functional, logic, and object-oriented. Prerequisite: C or better in each of the following:CSE 1325,CSE 2312andCSE 3318.",17,17,4,2,2,0,0,1,0,0,0,43
2021 - 2022,2022 Spring,UGRD,UGRD,Kyungseo,Park,Ananya Fnu,CSE,2315,5,DISCRETE STRUCTURES,"Propositional and predicate logic, mathematical proof techniques, sets, combinatorics, functions and relations, graphs, and graph algorithms. Prerequisite: C or better inCSE 1310and C or better inMATH 1426(or C or better in or concurrent enrollment inMATH 2425).",11,16,7,1,2,0,0,1,2,0,0,40
2021 - 2022,2022 Spring,UGRD,UGRD,Kyungseo,Park,Krupa Asodariya,CSE,2315,4,DISCRETE STRUCTURES,"Propositional and predicate logic, mathematical proof techniques, sets, combinatorics, functions and relations, graphs, and graph algorithms. Prerequisite: C or better inCSE 1310and C or better inMATH 1426(or C or better in or concurrent enrollment inMATH 2425).",11,13,6,5,1,0,0,0,3,0,0,39
2021 - 2022,2022 Spring,UGRD,UGRD,Linda,Barasch,"Abdulla Sakallah, Mary Koone, Rohan Pramod Mandrekar, Shirisha Velineni, Vijay Ganesh Panchapakesan, Yaswanth Janardhan Konduru",CSE,3315,1,THEORETICAL CONCEPTS IN COMPUTER SCIENCE AND ENGINEERING,"Selected theoretical concepts including regular and context free languages, finite state and pushdown automata, Turing machines, computability, and NP-completeness. Prerequisite: C or better inCSE 2315.",10,14,10,5,1,0,0,0,4,0,0,44
2021 - 2022,2022 Spring,UGRD,UGRD,Linda,Barasch,"Abdulla Sakallah, Mary Koone, Rohan Pramod Mandrekar, Shirisha Velineni, Vijay Ganesh Panchapakesan, Yaswanth Janardhan Konduru",CSE,3315,2,THEORETICAL CONCEPTS IN COMPUTER SCIENCE AND ENGINEERING,"Selected theoretical concepts including regular and context free languages, finite state and pushdown automata, Turing machines, computability, and NP-completeness. Prerequisite: C or better inCSE 2315.",7,11,11,7,3,0,0,0,1,0,0,40
2021 - 2022,2022 Spring,UGRD,UGRD,Linda,Barasch,"Abdulla Sakallah, Mary Koone, Rohan Pramod Mandrekar, Shirisha Velineni, Vijay Ganesh Panchapakesan, Yaswanth Janardhan Konduru",CSE,3315,3,THEORETICAL CONCEPTS IN COMPUTER SCIENCE AND ENGINEERING,"Selected theoretical concepts including regular and context free languages, finite state and pushdown automata, Turing machines, computability, and NP-completeness. Prerequisite: C or better inCSE 2315.",3,7,6,3,4,0,0,0,2,0,0,25
2021 - 2022,2022 Spring,UGRD,UGRD,Marnim,Galib,Mason Lary,CSE,4334,2,DATA MINING,"Automatic discovery of patterns and knowledge from large data repositories, including databases, data warehouses, Web, document collections, and transactions. Basic topics of data mining including data preprocessing, data warehousing and online analytical processing (OLAP), data cube, frequent pattern and association rule mining, correlation analysis, classification and prediction and clustering, as well as advanced topics covering the techniques and applications of data mining on Web and text documents. Prerequisite: Admitted into an Engineering Professional Program. C or better in each of the following:IE 3301(orMATH 3313). Co-requisite:CSE 3330.",27,17,3,1,0,0,0,1,3,0,0,52
2021 - 2022,2022 Spring,UGRD,UGRD,Mary,Koone,"Abdulla Sakallah, Linda Barasch, Rohan Pramod Mandrekar, Shirisha Velineni, Vijay Ganesh Panchapakesan, Yaswanth Janardhan Konduru",CSE,3315,4,THEORETICAL CONCEPTS IN COMPUTER SCIENCE AND ENGINEERING,"Selected theoretical concepts including regular and context free languages, finite state and pushdown automata, Turing machines, computability, and NP-completeness. Prerequisite: C or better inCSE 2315.",3,3,5,4,5,0,0,0,4,0,0,24
2021 - 2022,2022 Spring,UGRD,UGRD,Mary,Koone,"Abdulla Sakallah, Linda Barasch, Rohan Pramod Mandrekar, Shirisha Velineni, Vijay Ganesh Panchapakesan, Yaswanth Janardhan Konduru",CSE,3315,5,THEORETICAL CONCEPTS IN COMPUTER SCIENCE AND ENGINEERING,"Selected theoretical concepts including regular and context free languages, finite state and pushdown automata, Turing machines, computability, and NP-completeness. Prerequisite: C or better inCSE 2315.",0,6,14,4,3,0,0,0,2,0,0,29
2021 - 2022,2022 Spring,UGRD,UGRD,Mary,Koone,"Cristian Garces, Vishwanth Reddy Muchantula",CSE,2315,2,DISCRETE STRUCTURES,"Propositional and predicate logic, mathematical proof techniques, sets, combinatorics, functions and relations, graphs, and graph algorithms. Prerequisite: C or better inCSE 1310and C or better inMATH 1426(or C or better in or concurrent enrollment inMATH 2425).",12,10,12,2,3,0,0,0,0,0,0,39
2021 - 2022,2022 Spring,UGRD,UGRD,Mary,Koone,"Cristian Garces, Vishwanth Reddy Muchantula",CSE,2315,7,DISCRETE STRUCTURES,"Propositional and predicate logic, mathematical proof techniques, sets, combinatorics, functions and relations, graphs, and graph algorithms. Prerequisite: C or better inCSE 1310and C or better inMATH 1426(or C or better in or concurrent enrollment inMATH 2425).",0,3,4,2,2,0,0,1,3,0,0,15
2021 - 2022,2022 Spring,UGRD,UGRD,Md Salik,Parwez,Deborah Jahaj,CSE,2440,1,CIRCUIT ANALYSIS,"Basic principles of electrical circuits using resistors, capacitors and inductors. Filter analysis and synthesis using complex algebra. Introduction to operational amplifiers. Time domain and frequency domain analysis and taxonomy of signals. Concurrent laboratory experiments complement lecture topics. Prerequisite: 
Grade C or better inMATH 2425andPHYS 1444.",16,7,3,0,1,0,0,0,0,0,0,27
2021 - 2022,2022 Spring,UGRD,UGRD,Md Salik,Parwez,Foram Pankajbhai Patel,CSE,4345,1,COMPUTATIONAL METHODS,"Introduction to numerical methods for solving problems in computer science and computer engineering. Topics include computer arithmetic, linear and nonlinear equations, eigenvalue problems, least squares, optimization, interpolation, and simulation. Prerequisite: Admitted into an Engineering Professional Program. C or better in each of the followingIE 3301orMATH 3313,CSE 3318, and eitherCSE 3380orMATH 3330.",15,2,0,0,1,0,0,1,1,0,0,20
2021 - 2022,2022 Spring,UGRD,UGRD,Md Salik,Parwez,Saba Ruhee Jagirdar,CSE,4340,1,FUNDAMENTALS OF WIRELESS NETWORKS,"Fundamentals of wireless networks, radio spectrum, coding and modulation, multiple access techniques, antennas, noise and interference, channels, demodulation and decoding, error rates and capacity, link budgets, medium access control, rate adaption, and wireless LAN/PAN, ad-hoc, and sensor networks. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 4344orCSE 4352or consent of instructor.",6,6,1,0,0,0,0,0,1,0,0,14
2021 - 2022,2022 Spring,UGRD,UGRD,Medhat,Saleh,Tushar Kanth Reddy Thirumanyam,CSE,3330,3,DATABASE SYSTEMS AND FILE STRUCTURES,"Database system architecture; file structures for databases, including indexing hashing, and B+-trees; the relational model and algebra; the SQL database language; Entity-Relationship data modeling; functional dependencies and basic normalization. Prerequisite: C or better in each of the following:CSE 1325andCSE 3318.",9,5,1,1,1,0,0,0,0,0,0,17
2021 - 2022,2022 Spring,UGRD,UGRD,Mike,Siok,Chidozie Arukwe,CSE,4322,1,SOFTWARE PROJECT MANAGEMENT,"Introduction to software project management. Issues include effort estimation and costing, project planning and scheduling, option analysis, software quality assurance, and formal technical reviews. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 3310.",24,16,0,0,0,0,0,0,0,0,0,40
2021 - 2022,2022 Spring,UGRD,UGRD,Ming,Li,"Huadi Zhu, Srinivasan Murali",CSE,4344,2,COMPUTER NETWORK ORGANIZATION,"Design and analysis of computer networks. Emphasis on the OSI architecture but discusses other schemes (e.g., ARPAnet). Data link control, local networks, protocols/architectures, network access protocols, transport protocols, internetworking, and ISDN. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 3320.",23,29,8,1,0,0,0,0,1,0,0,62
2021 - 2022,2022 Spring,UGRD,UGRD,Mohammad,Islam,Zahidur Rahim Talukder,CSE,4323,1,QUANTITATIVE COMPUTER ARCHITECTURE,"Pipelined processors, parallel processors including shared and distributed memory, multicore, Very Long Instruction Word (VLIW) and graphics processors, memory and cache design, computer peripherals, and computer clusters. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 3320.",23,29,2,1,0,0,0,0,2,0,0,57
2021 - 2022,2022 Spring,UGRD,UGRD,Nadra,Guizani,Anubhav Sharma,CSE,3330,2,DATABASE SYSTEMS AND FILE STRUCTURES,"Database system architecture; file structures for databases, including indexing hashing, and B+-trees; the relational model and algebra; the SQL database language; Entity-Relationship data modeling; functional dependencies and basic normalization. Prerequisite: C or better in each of the following:CSE 1325andCSE 3318.",33,12,0,1,0,0,0,0,0,0,0,46
2021 - 2022,2022 Spring,UGRD,UGRD,Nadra,Guizani,Nirdesh Sakh,CSE,3330,4,DATABASE SYSTEMS AND FILE STRUCTURES,"Database system architecture; file structures for databases, including indexing hashing, and B+-trees; the relational model and algebra; the SQL database language; Entity-Relationship data modeling; functional dependencies and basic normalization. Prerequisite: C or better in each of the following:CSE 1325andCSE 3318.",30,8,1,0,1,0,0,0,0,0,0,40
2021 - 2022,2022 Spring,UGRD,UGRD,Nadra,Guizani,Shreyalaxmi Talukdar,CSE,4309,1,FUNDAMENTALS OF MACHINE LEARNING,"This course offers an introduction to machine learning.  Topics include naive Bayes classifiers, linear regression, linear classifiers, neural networks and backpropagation, kernel methods, decision trees, feature selection, clustering, and reinforcement learning.   A strong programming background is assumed, as well as familiarity with linear algebra (vector and matrix operations), and knowledge of basic probability theory and statistics. Prerequisite: Admitted into an Engineering Professional Program. C or better in each of the following:CSE 3318,MATH 2326or consent of instructor,IE 3301orMATH 3313, andCSE 3380orMATH 3330.",52,4,2,1,0,0,0,0,0,0,0,59
2021 - 2022,2022 Spring,UGRD,UGRD,Nadra,Guizani,Sowmya Reddy Atla,CSE,3310,3,FUNDAMENTALS OF SOFTWARE ENGINEERING,"Software engineering principles, processes, and techniques; software development approaches focusing on functional analysis and functional design methods. Configuration management, implementation strategies, and testing. Team project. Prerequisite: C or better in each of the following:CSE 1320,CSE 1325andCSE 2315.",34,10,0,1,0,0,0,0,0,0,0,45
2021 - 2022,2022 Spring,UGRD,UGRD,Nethali,Fernando,,DATA,3311,1,MATHEMATICS FOR DATA SCIENCE,"This course covers techniques from linear algebra and probability with an emphasis on how they are used in data science. Working with real data sets will be emphasized, along with basics of Matlab or R programming. Prerequisite:MATH 1426.",3,2,2,0,3,0,0,0,1,0,0,11
2021 - 2022,2022 Spring,UGRD,UGRD,Phuc VP,Nguyen,Quan Do,CSE,3318,3,ALGORITHMS & DATA STRUCTURES,"Design and analysis of algorithms with an emphasis on data structures. Approaches to analyzing lower bounds on problems and upper bounds on algorithms. Classical algorithm design techniques including algorithms for sorting, searching, and other operations on data structures such as hash tables, trees, graphs, strings, and advanced data structures, dynamic programming and greedy approaches. Prerequisite:CSE 1320andCSE 2315.",25,19,2,0,1,0,0,1,1,0,0,49
2021 - 2022,2022 Spring,UGRD,UGRD,Ronald,Cross,Arkajyoti Mitra,CSE,4314,1,PROFESSIONAL PRACTICES,"Ethics. Contemporary social aspects and responsibilities of computing in a global, societal context. Lifelong learning goals and resources. Entrepreneurship and intellectual property. Project involving written and oral communication. Prerequisite: Admitted into an Engineering Professional Program. C or better inCOMS 2302.",8,22,4,0,0,0,0,0,2,0,0,36
2021 - 2022,2022 Spring,UGRD,UGRD,Ronald,Cross,Mehek Piyush Thaker,CSE,2315,3,DISCRETE STRUCTURES,"Propositional and predicate logic, mathematical proof techniques, sets, combinatorics, functions and relations, graphs, and graph algorithms. Prerequisite: C or better inCSE 1310and C or better inMATH 1426(or C or better in or concurrent enrollment inMATH 2425).",10,18,7,5,2,0,0,0,0,0,0,42
2021 - 2022,2022 Spring,UGRD,UGRD,Ronald,Cross,Pranjal Thapliyal,CSE,4314,3,PROFESSIONAL PRACTICES,"Ethics. Contemporary social aspects and responsibilities of computing in a global, societal context. Lifelong learning goals and resources. Entrepreneurship and intellectual property. Project involving written and oral communication. Prerequisite: Admitted into an Engineering Professional Program. C or better inCOMS 2302.",3,7,0,0,0,0,0,0,0,0,0,10
2021 - 2022,2022 Spring,UGRD,UGRD,Ronald,Cross,Pranjol Sen Gupta,CSE,4314,4,PROFESSIONAL PRACTICES,"Ethics. Contemporary social aspects and responsibilities of computing in a global, societal context. Lifelong learning goals and resources. Entrepreneurship and intellectual property. Project involving written and oral communication. Prerequisite: Admitted into an Engineering Professional Program. C or better inCOMS 2302.",6,26,8,1,1,0,0,0,0,0,0,42
2021 - 2022,2022 Spring,UGRD,UGRD,Shawn,Gieser,,CSE,4316,1,COMPUTER SYSTEM DESIGN PROJECT I,"Analysis and design of an industry-type project that involves hardware and software components to meet desired needs within realistic constraints and standards. The project is to be completed inCSE 4317the following semester. Multidisciplinary teams ofCSE 4316students are required to develop, review, and present problem definition, project planning, requirements formulation, and design specification. Prerequisites: Admitted into a CSE Professional Program. For academic plan CS__CS or SE__SE, C or better inCSE 3310andCSE 3320, and C or better inCSE 3314(or concurrently). For academic plan CSE_CP, C or better inCSE 3320andCSE 3442, and C or better inCSE 3314(or concurrently).",10,3,0,0,0,0,0,0,0,0,0,13
2021 - 2022,2022 Spring,UGRD,UGRD,Shawn,Gieser,,CSE,4317,5,COMPUTER SYSTEM DESIGN PROJECT II,"Implementation, integration, quality assurance through peer review and testing, and deployment of the project designed inCSE 4316; oral presentation, documentation and project demonstration. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 4316and continuation with the same team.",22,3,2,0,0,0,0,0,0,0,0,27
2021 - 2022,2022 Spring,UGRD,UGRD,Shawn,Gieser,,CSE,4317,11,COMPUTER SYSTEM DESIGN PROJECT II,"Implementation, integration, quality assurance through peer review and testing, and deployment of the project designed inCSE 4316; oral presentation, documentation and project demonstration. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 4316and continuation with the same team.",14,2,0,0,0,0,0,0,0,0,0,16
2021 - 2022,2022 Spring,UGRD,UGRD,Shawn,Gieser,Tushar Kanth Reddy Thirumanyam,CSE,1325,1,OBJECT-ORIENTED PROGRAMMING,"Object-oriented concepts, class diagrams, collection classes, generics, polymorphism, and reusability.  Projects involve extensive programming and include graphical user interfaces and multithreading. Prerequisite:CSE 1320.",9,3,2,1,2,0,0,0,0,0,0,17
2021 - 2022,2022 Spring,UGRD,UGRD,Shirin,Nilizadeh,Sayak Saha Roy,CSE,4380,4,INFORMATION SECURITY,"Hands-on introduction to the basics of security. Includes system security, buffer overflows, a high-level overview of cryptography, firewalls and intrusion detection/prevention, malware, penetration testing, forensics, and system administration. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 3320.",14,17,2,0,1,0,0,0,0,0,0,34
2021 - 2022,2022 Spring,UGRD,UGRD,Stoddard,Rosenkrantz,Ajay Venkatesha,CSE,3311,1,OBJECT-ORIENTED SOFTWARE ENGINEERING,"Study of an agile unified methodology and its application to object-oriented software development. Topics include requirements acquisition, use case derivation, modeling and design of interaction behavior and state behavior, introduction to design patterns, derivation of design class diagrams, implementation considerations and deployment. Team project. Prerequisite: C or better in each of the following:CSE 3310andCSE 3318.",30,8,1,0,0,0,0,0,0,0,0,39
2021 - 2022,2022 Spring,UGRD,UGRD,Thomas,Jones,Afsana Tasnim,CSE,4382,1,SECURE PROGRAMMING,"This course is an introduction to methods of secure software design and development.  Students will learn about the major security problems found in software today. Using this knowledge, they will work in teams to find these bugs in software, fix the bugs, and design software so that it has fewer security problems. Static analysis tools will be a core part of the class, but students will also be exposed to black box testing tools. Topics will include input validation, buffer overflow prevention, error handling, web application issues, and XML. Prerequisite: Admitted into an Engineering Professional Program. C or better inCSE 3320.",8,10,2,0,0,0,0,1,3,0,0,24
2021 - 2022,2022 Spring,UGRD,UGRD,Trevor,Bakker,"Siddharth Jadhav, Vishva Variya",CSE,3320,1,OPERATING SYSTEMS,"Functions and components of an operating system, including process synchronization, job scheduling, memory management, file systems protection, and deadlocks. Related system software, such as loaders, linkers, assemblers, and windowing systems. Prerequisite: C or better inCSE 2312.",14,8,11,4,5,0,0,0,6,0,0,48
2021 - 2022,2022 Spring,UGRD,UGRD,Trevor,Bakker,"Siddhesh Jadhav, Vishva Variya",CSE,3320,3,OPERATING SYSTEMS,"Functions and components of an operating system, including process synchronization, job scheduling, memory management, file systems protection, and deadlocks. Related system software, such as loaders, linkers, assemblers, and windowing systems. Prerequisite: C or better inCSE 2312.",36,10,8,3,5,0,0,1,5,0,0,68
2021 - 2022,2022 Spring,UGRD,UGRD,Vamsikrishna,Gopikrishna,Mohammad Sadegh Nasr,CSE,4308,1,ARTIFICIAL INTELLIGENCE,"An introduction to the field of artificial intelligence studying basic techniques such as heuristic search, deduction, learning, problem solving, knowledge representation, uncertainty reasoning and symbolic programming languages such as LISP. Application areas may include intelligent agents, data mining, natural language, machine vision, planning and expert systems. Prerequisite: Admitted into an Engineering Professional Program. C or better in each of the following:CSE 3318and (IE 3301orMATH 3313).",18,21,9,0,0,0,0,2,8,0,0,58
2021 - 2022,2022 Spring,UGRD,UGRD,Vamsikrishna,Gopikrishna,Sai Krishna Wuyyuru,CSE,4308,2,ARTIFICIAL INTELLIGENCE,"An introduction to the field of artificial intelligence studying basic techniques such as heuristic search, deduction, learning, problem solving, knowledge representation, uncertainty reasoning and symbolic programming languages such as LISP. Application areas may include intelligent agents, data mining, natural language, machine vision, planning and expert systems. Prerequisite: Admitted into an Engineering Professional Program. C or better in each of the following:CSE 3318and (IE 3301orMATH 3313).",1,14,8,1,0,0,0,0,0,0,0,24
2021 - 2022,2022 Spring,UGRD,UGRD,Vamsikrishna,Gopikrishna,Sai Rohith Pasala,CSE,4308,3,ARTIFICIAL INTELLIGENCE,"An introduction to the field of artificial intelligence studying basic techniques such as heuristic search, deduction, learning, problem solving, knowledge representation, uncertainty reasoning and symbolic programming languages such as LISP. Application areas may include intelligent agents, data mining, natural language, machine vision, planning and expert systems. Prerequisite: Admitted into an Engineering Professional Program. C or better in each of the following:CSE 3318and (IE 3301orMATH 3313).",13,12,5,0,0,0,0,0,0,0,0,30
2021 - 2022,2022 Spring,UGRD,UGRD,Vassilis,Athitsos,Reza Ghoddoosian,CSE,4392,1,SPECIAL TOPICS,New developments in the field of computer science and engineering. Topic may vary from semester to semester. May be repeated for credit when topic changes. Departmental approval required in advance to use for degree credit. Prerequisite: consent of instructor.,18,1,3,1,2,0,0,0,1,0,0,26
