Academic Year,Term,Academic Career,Course Career,Primary Instructor First Name,Primary Instructor Last Name,Non Primary Instructors,Subject,Catalog Number,Section Number,Course Name,Description,A,B,C,D,F,I,P,Q,W,Z,R,Total Grades
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,"Ashish Jaiswal, Enamul Karim, Jackson Liller, Khaled Ahmed, Yanjun Lyu",CSE,1205,13,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,"A practical approach to hands-on computer hardware and software systems in a laboratory environment. Students will be exposed to basic engineering concepts such as simple circuits, digital logic, embedded controllers, computer networking, software design, and Linux operating systems. Some College of Engineering requirements are satisfied by the content of this course. Prerequisite:CSE 1310.",6,2,1,0,1,0,0,0,0,0,0,10
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,"Ashish Jaiswal, Enamul Karim, Jackson Liller, Khaled Ahmed, Yanjun Lyu",CSE,1205,16,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,"A practical approach to hands-on computer hardware and software systems in a laboratory environment. Students will be exposed to basic engineering concepts such as simple circuits, digital logic, embedded controllers, computer networking, software design, and Linux operating systems. Some College of Engineering requirements are satisfied by the content of this course. Prerequisite:CSE 1310.",9,3,0,0,2,0,0,0,0,0,0,14
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,"Ashish Jaiswal, Enamul Karim, Jackson Liller, Khaled Ahmed, Yanjun Lyu",CSE,1205,17,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,"A practical approach to hands-on computer hardware and software systems in a laboratory environment. Students will be exposed to basic engineering concepts such as simple circuits, digital logic, embedded controllers, computer networking, software design, and Linux operating systems. Some College of Engineering requirements are satisfied by the content of this course. Prerequisite:CSE 1310.",7,1,0,1,4,0,0,1,0,0,0,14
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,"Ashish Jaiswal, Enamul Karim, Jackson Liller, Khaled Ahmed, Yanjun Lyu",CSE,1205,18,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,"A practical approach to hands-on computer hardware and software systems in a laboratory environment. Students will be exposed to basic engineering concepts such as simple circuits, digital logic, embedded controllers, computer networking, software design, and Linux operating systems. Some College of Engineering requirements are satisfied by the content of this course. Prerequisite:CSE 1310.",6,1,0,1,1,0,0,0,0,0,0,9
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,"Ashish Jaiswal, Enamul Karim, Jackson Liller, Khaled Ahmed, Yanjun Lyu",CSE,1205,19,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,"A practical approach to hands-on computer hardware and software systems in a laboratory environment. Students will be exposed to basic engineering concepts such as simple circuits, digital logic, embedded controllers, computer networking, software design, and Linux operating systems. Some College of Engineering requirements are satisfied by the content of this course. Prerequisite:CSE 1310.",5,1,0,1,2,0,0,0,1,0,0,10
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,"Ashish Jaiswal, Enamul Karim, Jackson Liller, Khaled Ahmed, Yanjun Lyu",CSE,1205,20,INTRODUCTION TO COMPUTER SCIENCE AND ENGINEERING,"A practical approach to hands-on computer hardware and software systems in a laboratory environment. Students will be exposed to basic engineering concepts such as simple circuits, digital logic, embedded controllers, computer networking, software design, and Linux operating systems. Some College of Engineering requirements are satisfied by the content of this course. Prerequisite:CSE 1310.",8,2,0,0,6,0,0,0,0,0,0,16
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,"Ashish Jaiswal, Enamul Karim, Jackson Liller, Khaled Ahmed, Yanjun Lyu",CSE,2100,1,PRACTICAL COMPUTER HARDWARE/SOFTWARE SYSTEMS,A practical approach to hands-on computer hardware and software systems in a laboratory environment. Students will be exposed to basic design concepts using off-the-shelf hardware components and to tools that enable the design of complex software systems. Prerequisite:CSE 1320.,3,2,1,1,0,0,0,0,0,0,0,7
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,"Ashish Jaiswal, Enamul Karim, Jackson Liller, Khaled Ahmed, Yanjun Lyu",CSE,2100,2,PRACTICAL COMPUTER HARDWARE/SOFTWARE SYSTEMS,A practical approach to hands-on computer hardware and software systems in a laboratory environment. Students will be exposed to basic design concepts using off-the-shelf hardware components and to tools that enable the design of complex software systems. Prerequisite:CSE 1320.,5,0,0,0,1,0,0,0,0,0,0,6
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,"Ashish Jaiswal, Enamul Karim, Jackson Liller, Khaled Ahmed, Yanjun Lyu",CSE,2100,11,PRACTICAL COMPUTER HARDWARE/SOFTWARE SYSTEMS,A practical approach to hands-on computer hardware and software systems in a laboratory environment. Students will be exposed to basic design concepts using off-the-shelf hardware components and to tools that enable the design of complex software systems. Prerequisite:CSE 1320.,3,0,1,0,1,0,0,1,0,0,0,6
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,"Ashish Jaiswal, Enamul Karim, Jackson Liller, Khaled Ahmed, Yanjun Lyu",CSE,2100,18,PRACTICAL COMPUTER HARDWARE/SOFTWARE SYSTEMS,A practical approach to hands-on computer hardware and software systems in a laboratory environment. Students will be exposed to basic design concepts using off-the-shelf hardware components and to tools that enable the design of complex software systems. Prerequisite:CSE 1320.,2,1,0,0,3,0,0,0,1,0,0,7
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,"Ashish Jaiswal, Enamul Karim, Jackson Liller, Khaled Ahmed, Yanjun Lyu",CSE,2100,19,PRACTICAL COMPUTER HARDWARE/SOFTWARE SYSTEMS,A practical approach to hands-on computer hardware and software systems in a laboratory environment. Students will be exposed to basic design concepts using off-the-shelf hardware components and to tools that enable the design of complex software systems. Prerequisite:CSE 1320.,1,0,1,0,3,0,0,1,0,0,0,6
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,Hehuan Ma,CSE,2312,3,COMPUTER ORGANIZATION & ASSEMBLY LANGUAGE PROGRAMMING,"Computer organization from the viewpoint of software, including instruction set architectures, memory addressing, integer and floating-point representation and arithmetic, instruction pipelining, cache, memory virtualization, and I/O. The relationship of higher-level programming languages to assembly language and instruction set architecture is also explored. Prerequisite: a C or better inCSE 1320and a C or better inCSE 1205orCSE 1106.",12,11,14,2,4,0,0,2,1,0,0,46
2020 - 2021,2021 Spring,UGRD,UGRD,Chance,Eary,Huiyang Li,CSE,2312,4,COMPUTER ORGANIZATION & ASSEMBLY LANGUAGE PROGRAMMING,"Computer organization from the viewpoint of software, including instruction set architectures, memory addressing, integer and floating-point representation and arithmetic, instruction pipelining, cache, memory virtualization, and I/O. The relationship of higher-level programming languages to assembly language and instruction set architecture is also explored. Prerequisite: a C or better inCSE 1320and a C or better inCSE 1205orCSE 1106.",6,16,7,2,8,0,0,1,0,0,0,40
2020 - 2021,2021 Spring,UGRD,UGRD,Christoph,Csallner,Soumik Mohian,CSE,3311,2,OBJECT-ORIENTED SOFTWARE ENGINEERING,"Study of an agile unified methodology and its application to object-oriented software development. Topics include requirements acquisition, use case derivation, modeling and design of interaction behavior and state behavior, introduction to design patterns, derivation of design class diagrams, implementation considerations and deployment. Team project. Prerequisite: C or better in each of the following:CSE 3310andCSE 3318.",24,14,0,0,0,0,0,0,0,0,0,38
2020 - 2021,2021 Spring,UGRD,UGRD,Christopher,Conly,,CSE,4316,3,COMPUTER SYSTEM DESIGN PROJECT I,"Analysis and design of an industry-type project that involves hardware and software components to meet desired needs within realistic constraints and standards. The project is to be completed inCSE 4317the following semester. Multidisciplinary teams ofCSE 4316students are required to develop, review, and present problem definition, project planning, requirements formulation, and design specification. Prerequisites: Admitted into a CSE Professional Program. For academic plan CS__CS or SE__SE, C or better inCSE 3310andCSE 3320, and C or better inCSE 3314(or concurrently). For academic plan CSE_CP, C or better inCSE 3320andCSE 3442, and C or better inCSE 3314(or concurrently).",28,2,0,0,0,0,0,0,0,0,0,30
